mean	delta	phaseL	phaseR	time	x	dx	dy	power_L	power_R
 387.857	   4.286	   0.000	   0.000	   5.050	   6.547	   1.198	  -0.129	 -57.232	 -19.919
 390.000	   4.286	   0.000	   0.000	   5.150	   6.876	   1.258	  -0.121	 -39.665	  -8.508
 375.000	   5.000	   0.000	   0.000	   5.150	9999.000	9999.000	9999.000	9999.000	9999.000
 377.143	   5.000	   0.000	   0.000	   5.150	9999.000	9999.000	9999.000	9999.000	9999.000
 379.286	   5.000	   0.000	   0.000	   5.150	9999.000	9999.000	9999.000	9999.000	9999.000
 381.429	   5.000	   0.000	   0.000	   0.610	9999.000	9999.000	9999.000	9999.000	9999.000
 383.571	   5.000	   0.000	   0.000	   1.780	9999.000	9999.000	9999.000	9999.000	9999.000
 385.714	   5.000	   0.000	   0.000	   2.480	9999.000	9999.000	9999.000	9999.000	9999.000
 387.857	   5.000	   0.000	   0.000	   2.540	9999.000	9999.000	9999.000	9999.000	9999.000
 390.000	   5.000	   0.000	   0.000	   5.180	   6.844	   1.232	  -0.114	 -41.395	  -5.192
 375.000	   0.000	   0.129	   0.000	   5.180	9999.000	9999.000	9999.000	9999.000	9999.000
 377.143	   0.000	   0.129	   0.000	   5.180	9999.000	9999.000	9999.000	9999.000	9999.000
 379.286	   0.000	   0.129	   0.000	   5.180	9999.000	9999.000	9999.000	9999.000	9999.000
 381.429	   0.000	   0.129	   0.000	   5.180	9999.000	9999.000	9999.000	9999.000	9999.000
 383.571	   0.000	   0.129	   0.000	   5.180	9999.000	9999.000	9999.000	9999.000	9999.000
 385.714	   0.000	   0.129	   0.000	   8.400	   7.213	   0.415	  -0.197	 -56.205	 -99.421
 387.857	   0.000	   0.129	   0.000	   7.810	   9.628	   1.082	  -0.100	 -31.991	 -74.571
 390.000	   0.000	   0.129	   0.000	   7.890	  10.964	   1.351	  -0.104	  -9.769	 -30.006
 375.000	   0.714	   0.129	   0.000	   7.890	9999.000	9999.000	9999.000	9999.000	9999.000
 377.143	   0.714	   0.129	   0.000	   7.890	9999.000	9999.000	9999.000	9999.000	9999.000
 379.286	   0.714	   0.129	   0.000	   7.890	9999.000	9999.000	9999.000	9999.000	9999.000
 381.429	   0.714	   0.129	   0.000	   7.890	9999.000	9999.000	9999.000	9999.000	9999.000
 383.571	   0.714	   0.129	   0.000	   7.890	9999.000	9999.000	9999.000	9999.000	9999.000
 385.714	   0.714	   0.129	   0.000	   9.820	   8.335	   0.511	  -0.074	 -67.164	 -63.691
 387.857	   0.714	   0.129	   0.000	   9.820	9999.000	9999.000	9999.000	9999.000	9999.000
 390.000	   0.714	   0.129	   0.000	   9.820	9999.000	9999.000	9999.000	9999.000	9999.000
 375.000	   1.429	   0.129	   0.000	   9.820	9999.000	9999.000	9999.000	9999.000	9999.000
 377.143	   1.429	   0.129	   0.000	   9.820	9999.000	9999.000	9999.000	9999.000	9999.000
 379.286	   1.429	   0.129	   0.000	   9.820	9999.000	9999.000	9999.000	9999.000	9999.000
 381.429	   1.429	   0.129	   0.000	   9.820	9999.000	9999.000	9999.000	9999.000	9999.000
 383.571	   1.429	   0.129	   0.000	   9.820	9999.000	9999.000	9999.000	9999.000	9999.000
 385.714	   1.429	   0.129	   0.000	   7.330	   7.178	   0.744	  -0.133	-197.660	 -82.744
 387.857	   1.429	   0.129	   0.000	   9.710	  11.149	   0.820	  -0.110	 -83.749	 -27.671
 390.000	   1.429	   0.129	   0.000	   8.980	  12.060	   1.210	  -0.091	 -61.349	  -8.123
 375.000	   2.143	   0.129	   0.000	   8.980	9999.000	9999.000	9999.000	9999.000	9999.000
 377.143	   2.143	   0.129	   0.000	   8.980	9999.000	9999.000	9999.000	9999.000	9999.000
 379.286	   2.143	   0.129	   0.000	   8.980	9999.000	9999.000	9999.000	9999.000	9999.000
 381.429	   2.143	   0.129	   0.000	   8.980	9999.000	9999.000	9999.000	9999.000	9999.000
 383.571	   2.143	   0.129	   0.000	   1.140	9999.000	9999.000	9999.000	9999.000	9999.000
 385.714	   2.143	   0.129	   0.000	   5.320	   5.880	   0.893	  -0.040	 -68.016	-118.189
 387.857	   2.143	   0.129	   0.000	   5.290	   6.991	   1.251	  -0.084	 -39.364	 -53.307
 390.000	   2.143	   0.129	   0.000	   5.290	   7.488	   1.397	  -0.097	 -13.077	 -13.058
 375.000	   2.857	   0.129	   0.000	   5.290	9999.000	9999.000	9999.000	9999.000	9999.000
 377.143	   2.857	   0.129	   0.000	   5.290	9999.000	9999.000	9999.000	9999.000	9999.000
 379.286	   2.857	   0.129	   0.000	   5.290	9999.000	9999.000	9999.000	9999.000	9999.000
 381.429	   2.857	   0.129	   0.000	   5.290	9999.000	9999.000	9999.000	9999.000	9999.000
 383.571	   2.857	   0.129	   0.000	   0.680	9999.000	9999.000	9999.000	9999.000	9999.000
 385.714	   2.857	   0.129	   0.000	   5.170	   5.710	   0.897	  -0.130	-100.362	-104.120
 387.857	   2.857	   0.129	   0.000	   5.170	   6.799	   1.238	  -0.112	 -37.944	 -50.164
 390.000	   2.857	   0.129	   0.000	   5.230	   7.358	   1.382	  -0.118	 -14.723	 -10.822
 375.000	   3.571	   0.129	   0.000	   5.230	9999.000	9999.000	9999.000	9999.000	9999.000
 377.143	   3.571	   0.129	   0.000	   5.230	9999.000	9999.000	9999.000	9999.000	9999.000
 379.286	   3.571	   0.129	   0.000	   5.230	9999.000	9999.000	9999.000	9999.000	9999.000
 381.429	   3.571	   0.129	   0.000	   5.230	9999.000	9999.000	9999.000	9999.000	9999.000
 383.571	   3.571	   0.129	   0.000	   0.670	9999.000	9999.000	9999.000	9999.000	9999.000
 385.714	   3.571	   0.129	   0.000	   5.020	   5.874	   1.017	  -0.118	 -83.689	 -61.278
 387.857	   3.571	   0.129	   0.000	   5.050	   6.551	   1.208	  -0.110	 -55.635	 -45.634
 390.000	   3.571	   0.129	   0.000	   5.150	   7.161	   1.355	  -0.134	 -16.710	  -9.152
 375.000	   4.286	   0.129	   0.000	   5.150	9999.000	9999.000	9999.000	9999.000	9999.000
 377.143	   4.286	   0.129	   0.000	   5.150	9999.000	9999.000	9999.000	9999.000	9999.000
 379.286	   4.286	   0.129	   0.000	   5.150	9999.000	9999.000	9999.000	9999.000	9999.000
 381.429	   4.286	   0.129	   0.000	   0.600	9999.000	9999.000	9999.000	9999.000	9999.000
 383.571	   4.286	   0.129	   0.000	   0.650	9999.000	9999.000	9999.000	9999.000	9999.000
 385.714	   4.286	   0.129	   0.000	   2.530	9999.000	9999.000	9999.000	9999.000	9999.000
 387.857	   4.286	   0.129	   0.000	   5.090	   6.633	   1.213	  -0.122	 -49.513	 -32.254
 390.000	   4.286	   0.129	   0.000	   4.890	   6.726	   1.338	  -0.058	 -28.024	  -5.137
 375.000	   5.000	   0.129	   0.000	   4.890	9999.000	9999.000	9999.000	9999.000	9999.000
 377.143	   5.000	   0.129	   0.000	   4.890	9999.000	9999.000	9999.000	9999.000	9999.000
 379.286	   5.000	   0.129	   0.000	   4.890	9999.000	9999.000	9999.000	9999.000	9999.000
 381.429	   5.000	   0.129	   0.000	   0.600	9999.000	9999.000	9999.000	9999.000	9999.000
 383.571	   5.000	   0.129	   0.000	   0.650	9999.000	9999.000	9999.000	9999.000	9999.000
 385.714	   5.000	   0.129	   0.000	   2.520	9999.000	9999.000	9999.000	9999.000	9999.000
 387.857	   5.000	   0.129	   0.000	   5.100	   6.683	   1.220	  -0.125	 -40.279	 -20.373
 390.000	   5.000	   0.129	   0.000	   5.040	   6.879	   1.315	  -0.104	 -28.138	  -2.540
 375.000	   0.000	   0.257	   0.000	   5.040	9999.000	9999.000	9999.000	9999.000	9999.000
 377.143	   0.000	   0.257	   0.000	   5.040	9999.000	9999.000	9999.000	9999.000	9999.000
 379.286	   0.000	   0.257	   0.000	   5.040	9999.000	9999.000	9999.000	9999.000	9999.000
 381.429	   0.000	   0.257	   0.000	   5.040	9999.000	9999.000	9999.000	9999.000	9999.000
 383.571	   0.000	   0.257	   0.000	   5.040	9999.000	9999.000	9999.000	9999.000	9999.000
 385.714	   0.000	   0.257	   0.000	   8.400	   7.213	   0.415	  -0.197	 -56.205	 -99.421
 387.857	   0.000	   0.257	   0.000	   7.810	   9.628	   1.082	  -0.100	 -31.991	 -74.571
 390.000	   0.000	   0.257	   0.000	   7.890	  10.964	   1.351	  -0.104	  -9.769	 -30.006
 375.000	   0.714	   0.257	   0.000	   7.890	9999.000	9999.000	9999.000	9999.000	9999.000
 377.143	   0.714	   0.257	   0.000	   7.890	9999.000	9999.000	9999.000	9999.000	9999.000
 379.286	   0.714	   0.257	   0.000	   7.890	9999.000	9999.000	9999.000	9999.000	9999.000
 381.429	   0.714	   0.257	   0.000	   7.890	9999.000	9999.000	9999.000	9999.000	9999.000
 383.571	   0.714	   0.257	   0.000	   7.890	9999.000	9999.000	9999.000	9999.000	9999.000
 385.714	   0.714	   0.257	   0.000	   7.890	9999.000	9999.000	9999.000	9999.000	9999.000
 387.857	   0.714	   0.257	   0.000	   7.890	9999.000	9999.000	9999.000	9999.000	9999.000
 390.000	   0.714	   0.257	   0.000	   8.050	  11.241	   1.368	  -0.080	 -11.348	 -20.791
 375.000	   1.429	   0.257	   0.000	   8.050	9999.000	9999.000	9999.000	9999.000	9999.000
 377.143	   1.429	   0.257	   0.000	   8.050	9999.000	9999.000	9999.000	9999.000	9999.000
 379.286	   1.429	   0.257	   0.000	   8.050	9999.000	9999.000	9999.000	9999.000	9999.000
 381.429	   1.429	   0.257	   0.000	   8.050	9999.000	9999.000	9999.000	9999.000	9999.000
 383.571	   1.429	   0.257	   0.000	   8.050	9999.000	9999.000	9999.000	9999.000	9999.000
 385.714	   1.429	   0.257	   0.000	   8.050	9999.000	9999.000	9999.000	9999.000	9999.000
